RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1778.8123443805293,1792.1427673965493,1808.9612864220517,1822.750734779654,1838.3946064946704,1848.5668422314504,1862.8889165782605,1873.2613333096956,1885.609928386886,1891.443958392678,1898.827930513895,1906.4772033797506,1917.5243377384425,1930.9345420516886,1945.745923596609,1959.3127896138005,1971.7673543144315,1982.239195052821,1990.3029036499358,1996.9118833165091,2002.3204296198069,2003.6829848699501,2001.1839760498458,1999.915907997742,2019.2644694347612,2040.3927447339745,2067.806621471012,2080.3126486846313,2095.918989034764,2105.3661971722263,2115.6982994364207,2121.8103073655934,2127.147096383881,2129.351686985795,2133.0326902383604,2138.7563385926674,2149.1983125345914,2163.32401926467,2174.6373654389527,2186.720109502622,2195.9534928387793,2209.518718329298,2220.6437890593575,2231.7458475212607,2237.5476147973204,2242.024371956693,2247.4334003571043,2252.186492266671,2258.3876713433183,2262.209622109366,2275.5048523534447,2287.4186079966194,2301.070739224651,2310.8790253387065,2319.332807711266,2325.6171299619373,2328.848923622329,2330.1784600105457,2331.346898591546,2334.336434198756,2340.8627900099154,2345.1264292516653,2346.131378974121,2336.802663120073,2328.697051812859,2322.86488662538,2324.135402699018,2324.0221475686712,2320.33685550405,2316.7313100768592,2315.840379079697,2313.28908815283,2313.4712216065477,2315.8116954534603,2325.4530327696584,2337.8796279916805,2357.8131456531983,2390.246086312735,2429.1255194037108,2471.6945182485915,2503.9930725280274,2528.8190567029937,2542.4265620108554,2560.5953764926444,2578.84599173431,2604.2114001999794,2627.192046599572,2654.493959488552,2680.932087041219,2703.2428579305792,2724.702461205329,2742.3244666383584,2753.826012110607,2752.5204655422076,2746.1308706557265,2741.408391487562,2740.416022770795,2748.533536230294,2760.0496551421884,2774.374813535764,2780.8130995870947,2788.647571847614,2796.3284039789046,2805.516603172217,2807.0814645321566,2804.3450361883374,2794.1528541621337,2786.748728491634,2788.4667265944513,2795.3097117379652
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1478.571099232847,1487.8944418327271,1499.5170308361046,1509.4888187196739,1521.8156121920208,1531.5697037406699,1537.9131715209483,1540.2993044774378,1534.564371181854,1526.225576225092,1517.5755047843932,1516.8874403053728,1526.5142174728674,1537.915678248269,1551.630126925569,1560.4494036066505,1570.901420690969,1581.938602702664,1589.6768645243176,1594.429915615512,1586.671283646134,1570.875323112386,1550.617888795036,1538.405736127535,1548.7386725777455,1568.621020973653,1592.4870281331914,1604.619585172236,1616.316297320442,1622.7474507006416,1624.3799717672873,1618.8159207681806,1609.951385055259,1597.53538101679,1588.1409892587558,1586.986776152685,1596.137823468842,1610.3586922356237,1623.2153166205178,1634.974669746985,1645.4608260970085,1655.366049617249,1660.0570921005703,1656.4866771691143,1643.7724462751119,1630.3548774432982,1622.588755121381,1623.2477839004591,1632.8679411913615,1644.3658852952476,1661.7908628395523,1676.1249918921264,1688.8298388547225,1696.8041962813008,1700.2942308023212,1702.0198260656316,1696.943722662563,1688.7315291436776,1678.5857529957136,1672.8679892255366,1682.3151458236323,1695.7954643517771,1710.4429279270612,1710.7434037337264,1708.5579787062736,1704.909279438732,1702.5094072107875,1693.2077521103593,1674.4150583359537,1648.492970844848,1627.7513161505115,1617.0076699363142,1615.2592735030105,1623.9132341770303,1644.1356549095194,1674.7145338528437,1705.271073843466,1730.4226525606146,1748.621810667004,1759.811670253623,1763.5444959042743,1762.6313517410358,1760.9265025691725,1767.8203399462154,1783.2956558334713,1803.9888081478648,1827.2394389686133,1850.7424388924403,1876.5274054556232,1896.249733747128,1913.533353636721,1919.9805528890035,1920.4734201142594,1917.659351140213,1912.4594621634574,1914.0578052131762,1921.0049668308272,1935.3171711604093,1952.1208394831806,1971.1105750824754,1996.2085857898765,2017.431383942488,2029.2968959988436,2033.8531106778003,2027.9810961255193,2015.332540746541,2004.2329976449118,2007.8398890515862,2021.1814725317624,2038.7072448369133
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1203.141473102233,1206.3989996678627,1212.809089386032,1224.4516537794268,1234.5488367230316,1243.8328095643928,1244.7953612820843,1245.789854190833,1241.025404993167,1237.6051887306346,1234.3422811770793,1234.0939070719605,1235.6119716503194,1237.556643817352,1243.2996604280959,1248.6343332981262,1252.498339192442,1252.1453038787627,1249.6759668343395,1244.401670148208,1236.6371309500562,1226.0062312513132,1215.8876899461839,1210.5094517282646,1219.429038824581,1233.3967791212187,1248.2847129301645,1251.8870016185422,1259.6880977484257,1260.388961511959,1261.3991454167003,1256.7391518832244,1263.844703943655,1272.3732478229606,1284.216556379729,1293.2649328939629,1295.3336109978572,1300.934245601374,1299.8381402302139,1308.8221028360751,1310.5233916365082,1316.2506682158428,1315.2154003983787,1313.7938283335282,1309.3658064880385,1307.9904841528544,1309.9837764591655,1310.9000901013428,1312.5844396601844,1310.556806500307,1315.6999117476053,1321.2106974818237,1330.9924747589016,1338.1939673666438,1341.8312767116938,1341.2708613804161,1337.8356615210648,1337.2484954058853,1336.761901724238,1340.4331091416334,1343.5442493870269,1350.274223550846,1356.3463993664782,1353.1860791326114,1346.779031136147,1339.9048904669132,1343.5610576891113,1347.1952483453967,1347.7567750883043,1348.8728071196017,1351.203656713342,1351.4008534609777,1350.9796758240166,1347.3255358938384,1352.9460616178237,1365.4144177795606,1388.0884039095579,1415.4423531426573,1439.4459310019995,1461.413793603726,1474.199493959863,1483.2236406099214,1487.511757385015,1490.8351526772788,1497.2772415240588,1505.8692495062996,1516.0884693292403,1527.5447137993303,1539.0819052596248,1554.1573891749706,1565.0958362116526,1573.1459377825436,1570.6759134709207,1567.6248472714747,1563.6553085421242,1561.3652406427757,1565.7006157122778,1571.6656687150505,1581.8560948816662,1586.661850399986,1596.330125959162,1605.7689857467285,1613.599566326652,1615.1900050343131,1613.2839103105782,1608.8392649775192,1604.5837303045269,1603.812813834743,1605.8099217197284,1609.3714964232543
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,954.6080685337654,970.2176054795608,977.4285223611951,989.9290960270674,989.6006254165103,997.0523828269115,997.5043590877135,999.034304179606,1002.4281830953802,1005.6684964108356,1009.2718691554684,1011.2632230699704,1016.6524137060998,1022.1734038771203,1029.9994427275599,1038.498019665262,1046.23193203565,1052.0476217682212,1053.2208720480623,1053.7983390585425,1054.456614206944,1055.543228843158,1058.2364241520643,1059.1649273569615,1066.112441784333,1073.8245799809026,1086.5820686304226,1095.8607464382376,1106.5797959985343,1113.2483692744322,1118.8973087574016,1121.192111737703,1123.181094138453,1126.3312677169463,1129.0690059185397,1131.6595692242804,1134.8382309011233,1142.0703772935572,1154.6255031697451,1168.5837688627173,1179.460206528925,1187.758252542382,1194.8477117740797,1201.1412357061602,1206.414533087248,1210.3953798719185,1215.2951605626656,1221.771932717616,1226.369792676163,1235.5480451201183,1245.3637988187097,1260.3887943203688,1272.46189985023,1284.3731648160315,1293.3966578830698,1301.1588698362232,1306.2313722620904,1309.5546269550016,1314.6326529931478,1321.975240391177,1331.8428801523303,1341.9138631966407,1347.5947674752945,1346.831617956955,1344.979044355599,1348.1623840869377,1361.8792238655,1380.2228501415084,1397.626825202929,1413.5664271389498,1426.3979714458897,1436.3670110951753,1447.4844596763303,1459.6723767047781,1481.9621614399455,1511.6532829850946,1555.9799155612213,1606.0309625042491,1657.2144784997927,1700.7619249075833,1733.1567692936326,1755.4391264729497,1769.4800110002127,1778.993713765807,1788.2706316752142,1798.4226409717355,1813.525455039712,1827.5062393620103,1838.4706532035793,1847.363444846358,1852.7538181788243,1852.3391794293439,1845.3292145231358,1835.1560928152,1825.6161738031492,1817.4647530478803,1812.3138958070465,1815.5813749751808,1829.3796178502269,1840.888948602533,1850.445652251498,1850.727946743452,1855.5844669842836,1855.0748624606601,1853.7348592224866,1849.1204476496132,1839.4698279165498,1831.75329618826,1828.8917126528638,1838.6785316661471
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1680.153232380885,1690.7634035301908,1701.171756117033,1703.28376965374,1713.5212459044455,1722.4914500552966,1739.4281306221799,1750.7699870451615,1760.023691445271,1764.3573957551062,1761.8573255660388,1768.3050198128399,1772.4574383972292,1783.853854629319,1794.53319333913,1807.0020833331948,1823.163834444612,1836.1159758754538,1847.4267334168346,1848.0358919415378,1850.4166748132156,1852.2316301315873,1855.556864468275,1858.0537856638516,1865.8154912833213,1882.620083168298,1900.9944050335253,1917.704010308682,1933.9916970632596,1946.98523616956,1958.279479339753,1962.7907572397764,1965.9426125728899,1967.3686674114656,1968.3627380467312,1969.9056650952025,1979.2415068554565,1991.3871790617638,2005.8192727479004,2018.331357405467,2034.545416380245,2046.207029203288,2055.1377068810525,2063.856930975474,2069.9889023918568,2071.5281925590257,2065.567925986634,2066.890176638268,2072.2016362905306,2079.331003804563,2085.7383134185293,2095.778701848445,2107.6151536763405,2120.966283927552,2133.1606121090067,2143.0459013734126,2144.657504822992,2144.925514165948,2142.4626695565835,2147.8806411998626,2151.7457252195563,2160.5202162782207,2164.344266083035,2155.6823395586907,2147.3297871182135,2145.103235240534,2157.859846878156,2168.756662406362,2181.0599353535144,2196.741753070148,2213.372304584491,2222.7146432163304,2228.980430379891,2238.54370310456,2259.08564818585,2293.498185324656,2332.4546885008194,2376.0553564193206,2424.6422786791964,2479.7973799444685,2532.9209296291506,2565.7995451347415,2586.939023791368,2604.778898389644,2624.713562630225,2653.3430816737914,2683.9721499061825,2728.7618858232718,2773.9366756385493,2821.000844692942,2856.4374481277036,2884.8735764483954,2891.961073024757,2886.008331417204,2865.1298254637622,2850.6400326949943,2842.019136181223,2847.582350799498,2872.244060125358,2905.5242109775945,2944.4895477690216,2970.609020112422,2990.7388487827034,2998.765921590278,2995.719377660555,2981.1082822341987,2958.3894605123696,2937.8422098867527,2927.8300701587273,2935.333371795264
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1945.680270205478,1956.0428796227018,1964.7544913079935,1978.1494992279884,1989.1550203381132,2003.5594378399321,2013.388829778131,2023.7410695117653,2026.858394335285,2031.8126835429616,2029.554098739165,2035.299708367185,2041.9597170971065,2053.0400966992293,2057.443808901588,2064.302676119831,2079.6129707568,2097.8640628418343,2107.803953661786,2106.998927185128,2108.5184207684715,2098.1102792999777,2102.61835477879,2097.618555265087,2120.0815384048774,2135.2089942555945,2157.8354174469805,2171.9283904271792,2180.487470425454,2190.120217192112,2195.58850063678,2201.4646231825486,2202.8466568740714,2199.0524000519586,2203.23049492399,2205.3862852659927,2216.517107576383,2220.0214218148662,2232.6455546661573,2240.9663118484655,2249.93624776081,2255.8663582071767,2262.171697108212,2263.9022060639973,2265.2691668069556,2268.358593917728,2274.614833384078,2278.694342120784,2280.1808140278918,2285.1852746667746,2293.506517146175,2301.1798806455745,2310.4454281628186,2317.7050213524008,2327.530531584139,2332.3178934936695,2336.9270303243634,2336.810155970846,2342.428292947871,2343.9573557376466,2355.35581153477,2361.5598402271817,2366.0668616265557,2347.3712420513916,2329.1226918013463,,,2336.494192729146,2352.153305094575,2367.178083978405,2380.5799858537935,2391.0285278071788,2402.768364119074,2417.8749792609146,2437.8135530366358,2459.682712555981,2488.4737223230345,2536.3033483814365,2610.625485480865,,2780.823140114435,2828.882056259745,2850.3913726914216,2864.631928988643,2880.63215436989,2902.1495460834185,2930.689550533871,2960.2403891041254,2992.0875827658733,3019.6636415458415,3042.6303262929173,3053.5253613717946,3048.4847995657365,3034.1182873426937,3019.1245990635266,3006.3945484462233,2998.583851287706,2997.1933504971644,3007.2983093394914,3026.5642669081653,3047.333329058088,3070.2919850328317,3102.7908162529575,3132.4172105048565,3143.8923111978797,3141.6578221071186,3126.0955223419683,3120.264748412334,3117.0343337447584,3126.3278894163655
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2256.653579590664,2270.2647104860616,2291.888201897019,2314.0975014129176,2336.141740326309,2366.7776633082844,2385.1157303330256,2395.772476248474,2408.3054172584957,2417.871959413227,2409.5744040043655,2384.105639265503,2372.1496377371354,2375.8736462746606,2393.153339624138,2400.9610311849847,2408.3607476118323,2422.6028032396093,2438.0392158789055,2450.552692017231,2453.9556056221727,2452.302611962227,2450.455425460108,2436.268152919453,2427.292525167533,2417.965956986912,2423.339690409441,2433.717747012599,2448.869258791694,2464.7514025320324,2480.522935615993,2494.445343052984,2493.099209173488,2474.821506598964,2454.6862495671244,2441.5323480041825,2441.4858851884837,2441.852545215194,2455.4631739318966,2473.5120521530143,2494.228108513171,2509.0822859679315,2520.3701872644547,2530.0780077176046,2529.6356636794108,2521.5732227315807,2507.2143815117556,2493.6165873834316,2495.505916872352,2507.1747990526655,2529.8231732329837,2546.746601008906,2570.9185593742372,2588.7613597780546,2610.953595727161,2626.189882331392,2640.839377789936,2644.9311024600224,2640.2819640327684,2631.606070496752,2631.9564660588167,2642.3292407237213,2658.7776220419432,2651.893965616948,2632.9749662619715,2601.9767340216513,2578.830317258468,2544.557199851154,2497.675073767194,2454.262972437647,2422.9573395528737,2402.6031757123596,2397.5384158314014,2402.1881121110077,2427.4190671864108,2458.6386385809483,2496.944220190924,2545.551402157624,2597.850289921392,2652.3783231579537,2702.1672127183037,2726.384011119432,2749.08993984048,2755.876248301457,2787.1601570845696,2820.4428224228554,2870.3726957226295,2919.408378889233,2979.3405539780942,3043.627440654023,3102.804571879026,3144.798624378365,3153.1745208911493,3141.696004149802,3100.3556619131386,3069.8837739022183,3058.5177890409573,3071.7145105180543,3089.1312015960766,3118.46956562369,3157.541400203039,3202.3958418455645,3232.9249396653763,3248.5120289234883,3255.832487398655,3238.6727297696043,3200.4748636181703,3169.6838293476,3167.3707107378373,3190.7707097742664
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1663.6244467848496,1674.2858879238897,1687.2361098649108,1697.47243325927,1709.6114987729372,1717.4430996014626,1724.3773389807186,1730.5914924982676,1740.0082942539832,1742.3388107011033,1746.676318591827,1750.7544411635993,1758.7847966718582,1761.9193701446873,1763.1775994792347,1763.1357657214126,1765.4294079775805,1764.4531137789284,1763.1385366348109,1759.8221585221504,1759.0109441495729,1755.5126397779977,1752.4335299033635,1743.724899083116,1749.0698091868505,1754.2273090695294,1766.8333505160927,1768.1950389929768,1771.8407027211624,1774.0802939001599,1777.139043041981,1779.4910179655556,1781.5014940612323,1785.566508621459,1786.1815327678576,1787.2823095114534,1788.1077061630967,1792.1190775057828,1796.9739393762186,1802.4802711932616,1805.575831266839,1812.140987165855,1816.79989531215,1823.0872035977393,1826.2944173534474,1829.9756521300078,1832.6756499038177,1835.9459497692237,1837.07870610248,1836.0719197768433,1837.8258890263364,1842.6844706444474,1848.947082577605,1852.3691600792997,1853.2003470123286,1856.5596724724612,1858.2195629471028,1867.3304567777725,1877.782844619703,1888.5697072232854,1892.5468685263302,1893.4554742624332,1892.9503850883175,1881.715366567251,1869.2741703266367,1862.554957352244,1865.1458466244103,1866.2098511805063,1863.304716258924,1868.65528778563,1884.8799580611426,1902.4344918568584,1929.7272799799696,1960.8935378924396,1999.0699430671061,2036.0614237481332,2085.1070066889624,,2218.5288850619513,2283.7680961079373,2343.03960623056,2393.180720853039,2438.3190371208752,2496.56580300834,2548.9890652201475,2614.3072221060843,2674.2157487976724,2737.394740837478,2787.0732861115684,2814.9833706479953,2836.3659045774752,2845.326989763267,2851.198196598869,2846.5018900723703,2841.7866545517613,2843.3896462063635,2847.6644849360264,2860.016590303357,2871.311772593104,2887.9370590276894,2894.548191581313,2895.780109989469,2894.918715597119,2888.8676671555068,2886.3096652994413,2885.2384700798325,2892.5692841083037,2888.6578809638954,2893.643645809111,2902.3086856846116
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1082.6713044105193,1086.2648826141303,1093.8954431565744,1107.5084334461123,1120.4712589305861,1130.1862822114917,1138.709927887167,1141.1753138517063,1142.9302246618004,1145.2722900010453,1150.8126380988479,1154.899900673812,1156.3283841745542,1161.238726999866,1169.2293341380816,1179.86741224795,1187.7684118525872,1196.7946564218905,1201.039572593456,1203.7252378029987,1202.3672148181095,1199.2279642413728,1202.483025178839,1204.6116924542246,1220.4794169430122,1226.8335352450913,1241.4149798624724,1247.8045944613166,1260.639356749138,1264.9025150125065,1269.9972856541858,1270.4147317778718,1271.4019685056217,1269.6568105498877,1276.486719441729,1280.8000522651978,1285.0706563824317,1291.216610841022,1294.7172696461876,1299.5839537449656,1299.2068991011536,1310.7999062261808,1316.1465458226814,1320.8470286219356,1314.2127848310172,1317.5682130134394,1318.2717256046922,1323.1243039137312,1326.1722032458492,1330.6161429900842,1339.7571184962642,1348.2829962286323,1356.4385519761245,1367.3796610063864,1370.8066377237437,1374.5971480161556,1372.9612407891611,1372.3334417077258,1368.1038816786804,1362.590347066969,1366.2115752439804,1373.109959580293,1380.306025361027,1378.9995055706665,1375.4454047085533,1374.1584034676878,1375.0863757282737,1377.6901237108018,1380.7622639475055,1385.4025135185723,1388.9543993831826,1392.0082191702575,1391.197744974539,1395.9295714405914,1404.1654062076484,1425.7144015497415,1452.9019910297486,1485.8542216607352,1519.0763990545342,1548.8288187650278,1573.5796821397023,1586.5949007754068,1597.2466743585492,1603.5131322769284,1618.863837715523,1635.5500125089832,1649.1919738018819,1669.6054998903046,1692.8601297531343,1728.8022766864133,1750.6863365578906,1759.4372142413329,1754.0913749015851,1739.8900177447965,1727.0998083356617,1715.324781104795,1712.5169543608351,1714.8866736135178,1724.1504268514068,1733.2510118161608,1742.66262214924,1751.1079818947348,1757.5048615081425,1759.5770292427871,1756.0868574030835,1748.9307634144661,1743.3117871661716,1735.3646598638675,1731.5064656395136,1726.6814235101367
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1390.5665005485807,1394.6354108820233,1397.5182224247392,1405.3779392054662,1412.0726581909355,1424.8528590189142,1434.2388671041285,1440.116944907804,1445.6731241591185,1452.4344909586036,1458.222981605454,1461.9688803614445,1461.8996727552767,1470.0302598155738,1473.9791923998714,1483.8549549808479,1488.853798040385,1491.9264877800401,1495.4327948226382,1500.101207908163,1514.5274312834467,1515.0857527543824,1522.5046859524934,1518.5725314185445,1535.325045411129,1544.0600277939466,1558.5602531976524,1565.7337916428364,1573.5533428004655,1584.8629152210315,1596.0542416919275,1607.9357646917827,1614.3251523796835,1619.695746277474,1625.4601702830478,1627.8200500783896,1633.4190743617014,1640.8432691775595,1653.062074601672,1659.0203600904836,1663.59243492575,1671.5071942996617,1680.2703118774393,1691.8405015637607,1703.0465579011782,1715.10342702144,1720.9217111243706,1726.0662067299,1728.929720229989,1732.0682843834081,1736.7109059352072,1746.584109909461,1756.9335365548511,1766.457690257678,1773.425327897109,1784.2924470075823,1792.0493274354044,1799.7264445310836,1800.7084736660124,1805.9314196677713,1808.5669630316897,1816.4721879665235,1820.3048002133476,1815.7324661893347,1810.515730396803,1816.2047499269702,1838.4429157486163,1872.2528362339676,1902.8840941749124,1932.2427621372358,1960.718398849108,1983.4212611971698,2003.6711193063052,2024.1637206089995,2050.6740820915666,2071.1861412140966,2111.5768753725283,2153.115619068458,2215.4679058855745,2256.440429116315,2294.7474649423307,2311.5087689787047,2333.470493494147,2342.730145764887,2367.692451117465,2381.702039655171,2415.208235718589,2434.0123323699913,2451.237742711023,2464.064990091875,2482.433028287097,2494.774765308702,2502.533839797479,2498.1361116091743,2493.012787833083,2480.71156983918,2480.3689396901473,2485.8339190265906,2495.8695583134954,2502.0694057687892,2505.530911684644,2507.719077053387,2510.2140664671974,2521.7125635146217,2528.0300532323226,2552.977447220484,2553.915639100494,2562.5308946425216,2545.7861390518356,2560.2674076023904
